TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
349.64,Debit,Las Vegas,Online,Adult,Engineer,226.0,1.0,6651.62,2
601.4,Credit,Philadelphia,Branch,Adult,Engineer,104.0,1.0,8458.29,0
5.77,Debit,Charlotte,Online,Adult,Doctor,123.99999999999999,1.0,13988.12,1
201.33,Credit,Nashville,Branch,Adult,Engineer,186.0,1.0,2585.07,2
298.42,Debit,Indianapolis,Branch,Adult,Retired,225.0,1.0,3014.75,2
521.06,Debit,Albuquerque,Branch,Youth,Student,128.0,1.0,1951.42,1
117.28,Credit,Austin,Online,Senior,Engineer,16.0,1.0,3665.77,1
189.12,Credit,Indianapolis,,Youth,Engineer,103.0,1.0,977.01,2
133.55,Debit,Atlanta,ATM,Adult,Engineer,220.0,1.0,3846.2800000000007,1
143.21,Debit,Dallas,Online,Youth,Engineer,135.0,1.0,6374.82,1
24.77,Debit,Boston,ATM,Senior,Retired,55.0,1.0,5866.01,1
233.92,Credit,Jacksonville,Online,Youth,Student,280.0,1.0,6537.62,2
899.2850000000002,Debit,Indianapolis,Branch,Youth,Student,24.0,1.0,605.9499999999999,2
232.12,Debit,,ATM,Youth,Engineer,51.00000000000001,1.0,6689.87,0
211.36,Debit,Kansas City,Online,Youth,Student,113.0,1.0,634.17,2
91.53,Debit,Milwaukee,Branch,Adult,Doctor,69.00000000000001,1.0,14676.05,2
120.29,Debit,Miami,Branch,Youth,Student,77.0,1.0,1362.39,2
174.25,Debit,Seattle,Online,Adult,Doctor,67.0,1.0,10528.34,0
183.71,Debit,Denver,ATM,Youth,Engineer,102.0,1.0,552.52,1
345.39,Credit,Phoenix,,Adult,Engineer,80.0,1.0,6451.96,0
899.2850000000002,Debit,Detroit,ATM,Senior,Retired,87.0,1.0,4715.84,1
259.91,Debit,Denver,Online,Adult,Doctor,170.0,1.0,7176.86,1
154.71,Debit,San Diego,Online,Youth,Doctor,157.0,1.0,1523.72,0
899.2850000000002,Credit,Austin,Online,Adult,Engineer,30.0,1.0,8654.28,1
24.56,Debit,Mesa,Branch,Senior,Doctor,69.00000000000001,1.0,9869.93,2
568.07,,Washington,ATM,Adult,Doctor,115.0,1.0,10556.81,0
9.61,Credit,San Diego,Online,Adult,Doctor,179.0,1.0,12883.91,0
392.96,Debit,Kansas City,Online,Youth,Student,100.00000000000001,1.0,791.65,2
716.93,Credit,Milwaukee,Online,Senior,Retired,34.0,1.0,4064.02,2
223.85,Debit,Kansas City,ATM,Adult,Engineer,55.0,1.0,2929.91,2
230.66,Debit,Houston,Branch,Youth,Student,135.0,1.0,618.05,2
442.12,Debit,Los Angeles,Online,Youth,Student,260.0,1.0,1375.8,2
644.17,Debit,San Antonio,ATM,Youth,Engineer,72.0,1.0,1143.52,0
508.67999999999995,Credit,Mesa,Branch,Adult,Engineer,127.0,1.0,7708.41,2
858.63,Credit,San Francisco,Branch,Youth,Student,185.0,1.0,1872.96,0
25.36,Debit,Louisville,ATM,Adult,Engineer,78.0,1.0,201.04,2
147.62,Debit,Charlotte,Branch,Senior,Retired,133.0,1.0,2115.8,1
115.02,Debit,San Antonio,Branch,Youth,Doctor,175.0,1.0,7643.66,0
383.37,Debit,Fort Worth,Branch,Youth,Engineer,24.0,1.0,8901.93,1
98.54,Credit,El Paso,Online,Youth,Student,167.0,1.0,9383.43,1
83.24,,Fort Worth,Branch,Adult,Doctor,164.0,1.0,1181.31,1
196.16,Debit,Virginia Beach,Branch,Youth,Engineer,146.0,1.0,9418.86,0
129.94,Debit,Las Vegas,ATM,Youth,Engineer,235.0,1.0,7954.919999999999,2
306.9,Debit,Colorado Springs,Online,Adult,Engineer,51.00000000000001,1.0,9418.08,1
114.98,Debit,Seattle,Online,Adult,Retired,80.0,1.0,6144.68,0
756.59,Debit,Sacramento,Branch,Youth,Student,17.0,1.0,420.65,0
503.76000000000005,Debit,Los Angeles,Online,Youth,Student,35.0,1.0,447.82,2
143.03,Debit,San Antonio,ATM,Senior,Retired,147.0,1.0,7981.450000000001,0
899.2850000000002,Debit,Columbus,ATM,Adult,Retired,73.0,1.0,1829.9,1
245.54,,New York,ATM,Youth,Student,180.0,1.0,985.0600000000001,2
254.37000000000003,Credit,Dallas,Online,Adult,Engineer,174.0,1.0,8849.26,1
213.76,Credit,Dallas,ATM,Senior,Retired,282.0,1.0,3528.72,1
327.86,Debit,Fresno,Online,Adult,Engineer,104.0,1.0,480.16,1
2.5,Debit,San Diego,Online,Adult,Doctor,107.0,1.0,12145.27,0
300.08,Credit,Austin,Online,Senior,Doctor,47.0,1.0,13546.75,1
56.98,Credit,Oklahoma City,ATM,Adult,Engineer,122.0,1.0,5688.37,2
407.65,Debit,Boston,Online,Youth,Engineer,61.99999999999999,1.0,8346.64,1
115.83,Debit,Fresno,Branch,Adult,Engineer,167.0,1.0,6481.04,1
53.57,Debit,Houston,ATM,Senior,Retired,121.0,1.0,1651.33,2
63.34,Credit,Detroit,Online,Adult,Doctor,165.0,1.0,11174.94,1
317.87,Debit,Detroit,Online,Youth,Student,91.0,1.0,145.5,1
331.65,Debit,Portland,Online,Adult,Engineer,61.00000000000001,1.0,4172.57,0
5.04,Debit,Washington,ATM,Adult,Retired,41.0,1.0,5558.36,0
214.54,Credit,Detroit,Online,Senior,Doctor,247.0,1.0,11151.53,1
598.81,Debit,Philadelphia,Branch,Adult,Doctor,158.0,1.0,1415.52,0
841.28,Debit,Tucson,Online,Youth,Student,80.0,1.0,1103.64,0
38.15,Debit,Mesa,Online,Youth,Student,107.99999999999999,1.0,303.68,2
899.2850000000002,Debit,San Antonio,Branch,Adult,Doctor,144.0,1.0,5541.57,0
124.72,Debit,Oklahoma City,Branch,Youth,Engineer,105.0,1.0,6309.8,2
302.45,Credit,San Antonio,Branch,Senior,Retired,40.0,1.0,5133.61,0
208.04,Debit,Louisville,Online,Adult,Engineer,273.0,1.0,9344.98,2
5.77,Credit,Los Angeles,Branch,Youth,Student,254.0,1.0,1117.97,2
381.33,Debit,Albuquerque,ATM,Adult,Doctor,75.0,1.0,11835.35,1
16.16,Debit,Milwaukee,ATM,Adult,Doctor,123.99999999999999,1.0,14401.17,2
486.0799999999999,Debit,Oklahoma City,Online,Youth,Student,68.00000000000001,1.0,1748.69,2
336.39,Debit,San Antonio,Branch,Youth,Student,18.0,1.0,1000.46,0
899.2850000000002,Debit,Seattle,Online,Senior,Doctor,118.0,1.0,6810.05,0
234.57,Debit,Chicago,Online,Youth,Student,120.0,1.0,263.98,1
6.0,Debit,Chicago,Online,Youth,Doctor,246.0,1.0,5442.76,1
899.2850000000002,Debit,Detroit,ATM,Senior,Retired,21.000000000000004,1.0,2037.85,1
227.14,Debit,Charlotte,ATM,Youth,Student,294.0,1.0,341.94,1
233.74,Credit,Oklahoma City,Online,Senior,Retired,17.0,1.0,1066.59,2
211.36,Credit,Jacksonville,Branch,Senior,Retired,166.0,1.0,6077.96,2
45.85,Debit,Los Angeles,ATM,Youth,Student,91.99999999999999,1.0,1659.15,2
899.2850000000002,Debit,Sacramento,Branch,Senior,Retired,296.0,1.0,2042.22,0
211.36,Debit,New York,Online,Adult,Doctor,142.0,1.0,421.93,2
415.5,Debit,Memphis,ATM,Senior,Doctor,141.0,1.0,10113.66,2
265.76,Debit,Philadelphia,Online,Adult,Retired,91.99999999999999,1.0,4446.17,0
69.4,Debit,Virginia Beach,Online,Senior,Retired,113.0,1.0,6452.77,0
332.93,Credit,Albuquerque,Branch,Youth,Engineer,293.0,1.0,2788.2,1
267.9,Debit,San Antonio,Online,Youth,Student,160.0,1.0,596.1599999999999,0
496.0299999999999,Debit,San Francisco,Branch,Senior,Doctor,265.0,1.0,12904.66,0
376.26,Debit,Tucson,ATM,Youth,Engineer,245.0,1.0,9062.4,0
83.02,Credit,Seattle,Online,Youth,Engineer,171.0,1.0,9009.56,0
93.26,Credit,New York,Online,Youth,Student,72.0,1.0,1152.2,2
803.37,Credit,Memphis,Branch,Senior,Doctor,129.0,1.0,12168.37,2
35.76,Debit,Charlotte,Branch,Youth,Student,122.0,1.0,611.8599999999999,1
28.53,Debit,Washington,Online,Senior,Doctor,99.0,1.0,8670.53,0
139.53,Credit,Louisville,Online,Adult,Doctor,177.0,1.0,10098.86,2
307.57,Debit,Detroit,Branch,Youth,Doctor,285.0,1.0,5307.74,1
60.650000000000006,Credit,Tucson,Branch,Adult,Retired,53.00000000000001,1.0,1047.28,0
74.86,Debit,Nashville,Branch,Senior,Doctor,125.0,1.0,6921.48,2
211.36,Debit,Kansas City,Branch,Adult,Retired,137.0,1.0,1475.46,2
231.91,Debit,Memphis,ATM,Youth,Engineer,165.0,1.0,112.76,2
126.20999999999998,Debit,Baltimore,Branch,Senior,Retired,268.0,1.0,5669.66,1
506.28,Credit,Chicago,Online,Adult,Retired,162.0,1.0,1309.95,1
304.35,Debit,Houston,Branch,Youth,Engineer,36.0,1.0,4057.1,2
281.85,Debit,Detroit,ATM,Youth,Student,109.0,1.0,1585.98,1
777.88,Debit,Houston,Branch,Youth,Engineer,17.0,1.0,6825.55,2
119.18,Debit,Los Angeles,Branch,Adult,Retired,96.0,1.0,5516.5,2
177.19,Debit,Chicago,Online,Senior,Retired,43.0,1.0,5343.3,1
260.88,Debit,Denver,Branch,Youth,Student,36.0,1.0,903.05,1
169.47,Debit,Chicago,Online,Youth,Student,18.999999999999996,1.0,1806.16,1
73.23,Debit,Portland,Branch,Youth,Student,14.0,1.0,787.7399999999999,0
899.2850000000002,Debit,El Paso,ATM,Youth,Engineer,106.0,1.0,2429.68,1
792.57,Debit,Baltimore,ATM,Youth,Student,164.0,1.0,770.37,1
237.06,Debit,Phoenix,Online,Senior,Retired,45.99999999999999,1.0,1182.77,0
34.17,Credit,Philadelphia,Online,Adult,Engineer,53.99999999999999,1.0,726.55,0
740.25,Debit,Philadelphia,Online,Adult,Doctor,123.0,1.0,14464.3,0
453.54,Debit,Albuquerque,ATM,Adult,Doctor,82.0,1.0,12046.3,1
300.47,Debit,Jacksonville,Branch,Senior,Retired,100.00000000000001,1.0,7885.64,2
110.93,Credit,Virginia Beach,Branch,Youth,Student,201.0,1.0,1952.3499999999997,0
201.69,Debit,Las Vegas,ATM,Adult,Doctor,299.0,1.0,7328.52,2
399.21,Debit,Portland,ATM,Adult,Engineer,109.0,1.0,3210.39,0
899.2850000000002,Debit,Jacksonville,Online,Senior,Retired,57.0,1.0,5726.2,2
630.36,Debit,Mesa,ATM,Senior,Retired,52.00000000000001,1.0,1363.65,2
10.94,Credit,Philadelphia,ATM,Senior,Engineer,245.0,1.0,1241.99,0
215.9,Debit,Los Angeles,ATM,Youth,Doctor,235.0,1.0,7873.280000000001,2
899.2850000000002,Debit,Washington,Branch,Senior,Retired,165.0,1.0,5674.32,0
226.37,,Louisville,Branch,Adult,Doctor,141.0,1.0,9840.04,2
444.89,Credit,Las Vegas,Branch,Adult,Doctor,101.0,1.0,10328.23,2
280.57,Credit,Virginia Beach,Online,Youth,Student,24.0,1.0,293.24,0
488.54,Debit,Jacksonville,Branch,Adult,Engineer,132.0,1.0,7486.63,2
3.3,Credit,Los Angeles,Branch,Adult,Doctor,131.0,1.0,11385.37,2
199.39,,Colorado Springs,Branch,Senior,Retired,165.0,1.0,7264.79,1
20.36,Debit,Tucson,Branch,Senior,Retired,75.0,1.0,2762.48,0
113.64,Debit,Detroit,Online,Adult,Retired,32.0,1.0,6675.03,1
493.11,Debit,Colorado Springs,Branch,Adult,Retired,236.0,1.0,7432.99,1
307.41,Debit,Los Angeles,ATM,Youth,Student,14.0,1.0,1057.0,2
11.18,Debit,Atlanta,Online,Adult,Doctor,161.0,1.0,5956.89,1
313.82,Debit,Tucson,Branch,Adult,Engineer,151.0,1.0,7261.59,0
51.0,Debit,Seattle,Branch,Senior,Retired,107.0,1.0,4943.16,0
140.98,Debit,Memphis,Branch,Senior,Engineer,100.00000000000001,1.0,8127.4800000000005,2
288.04,Debit,Denver,ATM,Senior,Retired,63.0,1.0,1748.02,1
800.55,Debit,Oklahoma City,ATM,Youth,Engineer,107.99999999999999,1.0,9660.22,2
485.54,Debit,Houston,ATM,Adult,Engineer,143.0,1.0,6371.51,2
521.15,Debit,Kansas City,ATM,Adult,Doctor,214.0,1.0,9442.47,2
321.79,Credit,Raleigh,ATM,Senior,Retired,112.0,1.0,5959.2,0
304.93,Debit,Portland,ATM,Senior,Doctor,158.0,1.0,13531.22,0
432.08,,El Paso,ATM,Adult,Doctor,145.0,1.0,11500.62,1
694.2,Debit,Milwaukee,ATM,Senior,Retired,72.0,1.0,1389.37,2
116.86,Debit,Louisville,ATM,Adult,Engineer,171.0,1.0,6706.56,2
211.36,Credit,Detroit,,Adult,Doctor,149.0,1.0,7175.29,1
74.88,Debit,Atlanta,ATM,Youth,Student,202.0,1.0,420.67,1
211.36,Debit,Philadelphia,Branch,Senior,Retired,99.0,1.0,7323.53,0
134.7,Debit,Fort Worth,ATM,Adult,Doctor,106.0,1.0,8395.85,1
890.24,Credit,Las Vegas,Online,Youth,Engineer,161.0,1.0,5140.93,2
361.27,Debit,Omaha,ATM,Senior,Doctor,180.0,1.0,7945.57,0
131.56,Debit,Charlotte,Branch,Adult,Doctor,42.00000000000001,1.0,5873.54,1
485.51,Credit,Milwaukee,Online,Senior,Retired,37.0,1.0,3074.45,2
547.87,Debit,Columbus,ATM,Senior,Retired,131.0,1.0,6155.76,1
457.3,Debit,Virginia Beach,Online,Youth,Engineer,15.0,1.0,8318.29,0
506.24,Debit,Chicago,ATM,Adult,Engineer,64.0,1.0,230.09,1
486.59,Debit,Indianapolis,Branch,Adult,Retired,119.0,1.0,2513.56,2
163.68,Debit,San Diego,Branch,Adult,Doctor,292.0,1.0,10090.05,0
581.65,Debit,Boston,ATM,Youth,Student,176.0,1.0,480.19000000000005,1
52.01,Debit,Mesa,ATM,Adult,Doctor,85.0,1.0,1120.88,2
630.24,Debit,Boston,ATM,Youth,Student,61.99999999999999,1.0,370.81,1
523.74,Debit,Oklahoma City,ATM,Adult,Doctor,159.0,1.0,13498.55,2
705.6,Debit,Phoenix,Branch,Adult,Doctor,123.99999999999999,1.0,14804.7,0
217.5,Credit,Denver,Branch,Adult,Engineer,35.0,1.0,3057.4,1
91.48,Debit,Fort Worth,ATM,Adult,Doctor,141.0,1.0,14942.779999999999,1
5.25,Debit,San Jose,ATM,Adult,Doctor,49.0,1.0,14143.32,0
54.03,Credit,Milwaukee,ATM,Adult,Retired,161.0,1.0,6736.3,2
736.73,Debit,Memphis,Branch,Adult,Engineer,10.0,1.0,3313.07,2
368.91,,Virginia Beach,Branch,Adult,Doctor,14.0,1.0,829.7099999999999,0
33.06,Credit,Fort Worth,Online,Adult,Retired,170.0,1.0,1540.87,1
66.5,Credit,Louisville,Online,Youth,Engineer,144.0,1.0,6820.23,2
177.08,Debit,Las Vegas,,Youth,Doctor,85.0,1.0,13475.14,2
588.54,Debit,Portland,Branch,Youth,Engineer,130.0,1.0,714.4499999999999,0
173.5,Debit,Nashville,ATM,Youth,Student,282.0,1.0,1306.91,2
78.33,Credit,Memphis,Online,Adult,Engineer,189.0,1.0,7255.33,2
40.66,Debit,Louisville,Branch,Adult,Retired,156.0,1.0,1153.84,2
97.22,Credit,Atlanta,Branch,Senior,Retired,55.0,1.0,6647.73,1
34.07,Debit,Philadelphia,Branch,Youth,Student,81.0,1.0,8709.77,0
492.06000000000006,Debit,Fresno,Online,Youth,Student,74.0,1.0,857.9,1
842.01,Credit,Virginia Beach,Online,Adult,Doctor,185.0,1.0,509.45000000000005,0
73.55,Debit,Atlanta,ATM,Adult,Engineer,158.0,1.0,2812.06,1
760.53,Debit,Phoenix,Online,Adult,Engineer,118.0,1.0,6179.91,0
273.08,Credit,Houston,Branch,Adult,Engineer,134.0,1.0,6609.3,2
371.69,Debit,San Francisco,Branch,Senior,Retired,143.0,1.0,3484.32,0
218.96,Debit,Seattle,ATM,Youth,Student,13.0,1.0,754.21,0
227.39,Debit,Atlanta,Online,Youth,Student,65.0,1.0,751.09,1
237.99,Credit,Kansas City,Branch,Adult,Doctor,86.0,1.0,8510.09,2
186.6,Debit,,Online,Adult,Doctor,13.0,1.0,1508.72,0
341.15,Debit,San Jose,Online,Youth,Student,148.0,1.0,511.36999999999995,0
434.58,Debit,Memphis,ATM,Adult,Doctor,215.0,1.0,12648.32,2
312.88,Credit,Portland,Branch,Adult,Engineer,44.0,1.0,233.21,0
75.15,Debit,Boston,ATM,Youth,Student,154.0,1.0,1092.92,1
23.3,Debit,Los Angeles,ATM,Adult,Engineer,161.0,1.0,6711.15,2
47.38,Credit,Seattle,Online,Youth,Student,61.00000000000001,1.0,459.37,0
512.81,Debit,Sacramento,Branch,Senior,Retired,30.0,1.0,6994.34,0
488.15000000000003,Debit,Louisville,Branch,Adult,Engineer,168.00000000000003,1.0,7071.09,2
12.82,Debit,Fort Worth,ATM,Adult,Engineer,156.0,1.0,9045.19,1
66.9,Credit,Charlotte,Online,Senior,Retired,129.0,1.0,5238.71,1
535.91,Debit,Las Vegas,Online,Adult,Engineer,22.0,1.0,9642.12,2
270.72,Credit,Washington,Online,Youth,Engineer,53.00000000000001,1.0,6263.96,0
97.98,Debit,Denver,Branch,Senior,Retired,18.0,1.0,7460.329999999999,1
196.08,Debit,San Francisco,Online,Senior,Retired,98.0,1.0,4233.82,0
251.18000000000004,Debit,San Jose,ATM,Adult,Engineer,246.0,1.0,8303.9,0
44.52,Debit,El Paso,Online,Youth,Student,205.0,1.0,314.28,1
178.87,Debit,Baltimore,Online,Youth,Doctor,180.0,1.0,5241.23,1
899.2850000000002,Credit,Kansas City,ATM,Adult,Engineer,174.0,1.0,323.69,2
386.68,Debit,New York,Branch,Adult,Doctor,128.0,1.0,6863.06,2
167.14,Debit,Denver,Online,Senior,Retired,20.0,1.0,3877.7299999999996,1
345.22,Debit,Fresno,Branch,Senior,Retired,253.0,1.0,4046.5800000000004,1
74.85,Debit,Raleigh,ATM,Senior,Retired,117.0,1.0,2409.73,0
671.73,Debit,Washington,Branch,Adult,Engineer,53.99999999999999,1.0,5211.88,0
255.03999999999996,Debit,Seattle,ATM,Adult,Engineer,151.99999999999997,1.0,6217.86,0
45.77,Debit,Philadelphia,Online,Youth,Student,109.0,1.0,5978.12,0
329.69,Credit,San Antonio,Online,Youth,Student,66.0,1.0,1671.66,0
362.04,Credit,Philadelphia,Branch,Adult,Doctor,198.0,1.0,8421.88,0
11.92,Debit,San Diego,,Adult,Doctor,52.00000000000001,1.0,14611.9,0
47.42,Debit,San Diego,ATM,Senior,Doctor,28.0,1.0,8253.52,0
35.99,Debit,Miami,Branch,Senior,Retired,129.0,1.0,4489.79,2
151.19,Credit,New York,Branch,Youth,Doctor,96.0,1.0,11903.82,2
242.62,Credit,San Francisco,Online,Youth,Student,234.0,1.0,483.02000000000004,0
48.72,Debit,Virginia Beach,Branch,Youth,Student,17.0,1.0,816.0799999999999,0
43.46,Debit,Boston,ATM,Youth,Student,80.0,1.0,578.06,1
899.2850000000002,Debit,Omaha,Online,Youth,Student,126.0,1.0,477.3,0
443.79,Debit,Las Vegas,ATM,Adult,Retired,87.0,1.0,3133.85,2
365.14,Debit,Dallas,Online,Senior,Retired,57.0,1.0,5894.09,1
757.41,Debit,Los Angeles,ATM,Youth,Student,37.0,1.0,9532.42,2
20.54,Debit,Fort Worth,Branch,Adult,Engineer,72.0,1.0,5327.03,1
475.36,Debit,Phoenix,ATM,Youth,Engineer,105.0,1.0,2000.6,0
34.74,Debit,San Francisco,ATM,Adult,Retired,24.0,1.0,6827.57,0
689.54,Debit,Oklahoma City,Branch,Youth,Student,93.0,1.0,1633.76,2
211.18,Debit,Washington,ATM,Senior,Retired,90.0,1.0,4069.1699999999996,0
211.36,Credit,Fort Worth,Branch,Adult,Engineer,286.0,1.0,7943.469999999999,1
744.41,Credit,Houston,Online,Adult,Engineer,107.0,1.0,8842.47,2
61.43,Debit,Phoenix,Online,Youth,Student,170.0,1.0,1882.77,0
167.44,Debit,Mesa,Branch,Youth,Doctor,82.0,1.0,12526.71,2
361.46,Debit,Nashville,Online,Youth,Student,83.0,1.0,4737.84,2
378.85,Debit,Virginia Beach,Branch,Senior,Retired,126.0,1.0,2300.53,0
241.10999999999999,Debit,Columbus,Branch,Youth,Doctor,55.0,1.0,12385.05,1
131.93,Credit,Fort Worth,Branch,Youth,Engineer,13.0,1.0,4547.06,1
20.28,Debit,Oklahoma City,Online,Youth,Engineer,213.0,1.0,2047.83,2
415.88,Debit,San Diego,Branch,Senior,Doctor,170.0,1.0,10008.33,0
49.99,Debit,Omaha,ATM,Senior,Retired,112.0,1.0,2299.64,0
899.2850000000002,Debit,Denver,Online,Youth,Student,153.0,1.0,243.92,1
100.66,Debit,Dallas,Branch,Adult,Doctor,144.0,1.0,14473.33,1
485.54,Debit,Louisville,Online,Youth,Student,148.0,1.0,1533.32,2
321.15,Debit,Los Angeles,Branch,Adult,Doctor,179.0,1.0,7005.05,2
711.3,Debit,San Jose,Branch,Youth,Student,51.00000000000001,1.0,955.4,0
12.23,Debit,Houston,ATM,Adult,Engineer,139.0,1.0,7844.880000000001,2
350.94,Debit,Colorado Springs,ATM,Youth,Student,64.0,1.0,221.56,1
301.85,Debit,Columbus,Online,Adult,Engineer,25.000000000000004,1.0,6586.19,1
29.34,Debit,Louisville,Online,Senior,Retired,30.0,1.0,3944.82,2
231.71,Debit,Raleigh,Branch,Youth,Student,148.0,1.0,1127.98,0
179.43,Debit,Oklahoma City,ATM,Adult,Retired,244.0,1.0,2626.63,2
36.71,Debit,Jacksonville,Branch,Adult,Doctor,55.0,1.0,6459.38,2
138.12,Credit,Los Angeles,Branch,Adult,Doctor,281.0,1.0,1649.69,2
233.24,Debit,Louisville,ATM,Youth,Engineer,72.0,1.0,6939.23,2
609.14,Debit,Tucson,ATM,Adult,Engineer,177.0,1.0,9033.87,0
436.64,Debit,Los Angeles,Branch,Youth,Doctor,111.0,1.0,14365.18,2
870.43,Debit,Los Angeles,Branch,Youth,Doctor,55.0,1.0,10115.18,2
354.4,Debit,Chicago,ATM,Senior,Retired,128.0,1.0,7358.65,1
22.63,Debit,Kansas City,Online,Adult,Engineer,112.0,1.0,4438.03,2
182.19,Debit,Mesa,Branch,Youth,Student,53.00000000000001,1.0,1176.1,2
126.81,Debit,Philadelphia,Branch,Youth,Engineer,290.0,1.0,5427.98,0
288.17,Debit,Virginia Beach,Online,Youth,Engineer,50.00000000000001,1.0,3653.11,0
